fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles02/index.html.1899,tt0107007,Gettysburg (1993),gettysburg,http://www.imdb.com/title/tt0107007/,7.7,19124,16260,1993,video.movie,0,0,35,59,244,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles02/index.html.19,tt0010040,Daddy-Long-Legs (1919),daddy long legs,http://www.imdb.com/title/tt0010040/,7.9,997,5100,1919,video.movie,0,0,4,0,18,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1900,tt0280491,Bloody Sunday (2002),bloody sunday,http://www.imdb.com/title/tt0280491/,7.7,16640,6420,2002,video.movie,19,21,18,188,117,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles02/index.html.1914,tt0778822,Remembering History (Video 2005),remembering history video,http://www.imdb.com/title/tt0778822/,7.4,18,4140,2005,video.movie,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1918,tt0068768,Sinola (1972),sinola,http://www.imdb.com/title/tt0068768/,6.4,9369,5280,1972,video.movie,0,0,13,10,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1919,tt0043137,Winchester 73 (1950),winchester,http://www.imdb.com/title/tt0043137/,7.8,10108,5520,1950,video.movie,0,0,13,8,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1920,tt0060315,Django (1966),django,http://www.imdb.com/title/tt0060315/,7.3,14763,5520,1966,video.movie,0,0,11,310,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1921,tt0063501,Der Gehetzte der Sierra Madre (1966),der gehetzte der sierra madre,http://www.imdb.com/title/tt0063501/,7.4,2740,4800,1966,video.movie,0,0,3,29,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1922,tt0059740,Die vier Söhne der Katie Elder (1965),die vier s hne der katie elder,http://www.imdb.com/title/tt0059740/,7.2,7797,7320,1965,video.movie,1,0,38,23,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1923,tt0050468,Zwei rechnen ab (1957),zwei rechnen ab,http://www.imdb.com/title/tt0050468/,7.2,8155,7320,1957,video.movie,2,2,11,34,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1924,tt0061709,Der Tod ritt dienstags (1967),der tod ritt dienstags,http://www.imdb.com/title/tt0061709/,7.2,1615,5700,1967,video.movie,0,0,3,15,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1925,tt0061429,Töte Amigo (1966),t te amigo,http://www.imdb.com/title/tt0061429/,7.2,2153,8100,1966,video.movie,0,0,7,16,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1926,tt0044953,Nackte Gewalt (1953),nackte gewalt,http://www.imdb.com/title/tt0044953/,7.5,6200,5460,1953,video.movie,1,0,5,7,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
titles02/index.html.1927,tt0064916,Sabata (1969),sabata,http://www.imdb.com/title/tt0064916/,6.9,2482,6660,1969,video.movie,0,0,9,7,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1928,tt0040369,Bis zum letzten Mann (1948),bis zum letzten mann,http://www.imdb.com/title/tt0040369/,7.7,9867,7500,1948,video.movie,2,1,28,61,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.194,tt1103965,The 80th Annual Academy Awards (2008),the th annual academy awards,http://www.imdb.com/title/tt1103965/,6.8,1067,11820,2008,video.tv,1,8,511,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1942,tt2973778,"Edición Especial Coleccionista" Phineas y Ferb: A traves de la 2ª Dimensión (TV Episode 2013),edici n especial coleccionista phineas y ferb a traves de la dimensi n tv episode,http://www.imdb.com/title/tt2973778/,,,1140,2013,video.episode,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1947,tt0047647,Vera Cruz (1954),vera cruz,http://www.imdb.com/title/tt0047647/,7.1,5465,5640,1954,video.movie,0,0,37,28,53,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1948,tt0061636,Von Angesicht zu Angesicht (1967),von angesicht zu angesicht,http://www.imdb.com/title/tt0061636/,7.4,1377,6420,1967,video.movie,0,0,2,9,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1949,tt0069436,Keine Gnade für Ulzana (1972),keine gnade f r ulzana,http://www.imdb.com/title/tt0069436/,7.1,2992,6180,1972,video.movie,0,0,14,9,52,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1950,tt0067140,Todesmelodie (1971),todesmelodie,http://www.imdb.com/title/tt0067140/,7.7,17791,9420,1971,video.movie,1,0,7,10,102,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1951,tt0054047,Die glorreichen Sieben (1960),die glorreichen sieben,http://www.imdb.com/title/tt0054047/,7.8,51542,7680,1960,video.movie,2,2,65,442,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1952,tt0099348,Der mit dem Wolf tanzt (1990),der mit dem wolf tanzt,http://www.imdb.com/title/tt0099348/,8.0,143286,10860,1990,video.movie,34,28,68,817,351,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.1953,tt0065126,Der Marshal (1969),der marshal,http://www.imdb.com/title/tt0065126/,7.4,26762,7680,1969,video.movie,7,5,38,1258,151,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1954,tt0049730,Der schwarze Falke (1956),der schwarze falke,http://www.imdb.com/title/tt0049730/,8.0,50448,7140,1956,video.movie,1,2,82,234,408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1955,tt0061619,El Dorado (1966),el dorado,http://www.imdb.com/title/tt0061619/,7.7,13415,7560,1966,video.movie,0,0,66,32,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.1956,tt0040724,Panik am roten Fluß (1948),panik am roten flu,http://www.imdb.com/title/tt0040724/,7.8,17040,5520,1948,video.movie,1,2,34,89,148,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.1970,tt1137936,"Weeds - Kleine Deals unter Nachbarn" If You Work for a Living\, Then Why Do You Kill Yourself Working? (TV Episode 2008),weeds kleine deals unter nachbarn if you work for a living then why do you kill yourself working tv episode,http://www.imdb.com/title/tt1137936/,8.4,314,1800,2008,video.episode,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1975,tt0055499,Wie in einem Spiegel (1961),wie in einem spiegel,http://www.imdb.com/title/tt0055499/,8.1,11125,5340,1961,video.movie,2,4,10,66,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1982,tt0086022,Nostalghia (1983),nostalghia,http://www.imdb.com/title/tt0086022/,8.2,8649,7500,1983,video.movie,3,1,14,22,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.1983,tt0064793,Passion (1969),passion,http://www.imdb.com/title/tt0064793/,7.8,4360,6060,1969,video.movie,8,0,23,13,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2003,tt0044081,Endstation Sehnsucht (1951),endstation sehnsucht,http://www.imdb.com/title/tt0044081/,8.1,64151,7320,1951,video.movie,13,14,41,556,215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2007,tt0012938,Beyond the Rocks (1922),beyond the rocks,http://www.imdb.com/title/tt0012938/,7.9,1818,4800,1922,video.movie,0,0,5,6,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2009,tt0051459,Die Katze auf dem heißen Blechdach (1958),die katze auf dem hei en blechdach,http://www.imdb.com/title/tt0051459/,8.1,27420,6480,1958,video.movie,3,8,54,7,134,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
